"REF_DATE","GEO","DGUID","Area, production and farm value of potatoes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1912","Saskatchewan","2016A000247","Seeded area","Acres","28","units","0","v47147","9.1","31000","","","","0"
"1912","Saskatchewan","2016A000247","Average yield","Hundredweight per harvested acres","159","units","0","v47158","9.2","126.8","","","","1"
"1912","Saskatchewan","2016A000247","Production","Hundredweight","156","thousands","3","v47169","9.3","3931","","","","0"
"1912","Saskatchewan","2016A000247","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47180","9.4","0.67","","","t","2"
"1912","Saskatchewan","2016A000247","Total farm value, potatoes","Dollars","81","thousands","3","v47191","9.5","2621","","","t","0"
"1912","Alberta","2016A000248","Seeded area","Acres","28","units","0","v47148","10.1","27000","","","","0"
"1912","Alberta","2016A000248","Average yield","Hundredweight per harvested acres","159","units","0","v47159","10.2","128.3","","","","1"
"1912","Alberta","2016A000248","Production","Hundredweight","156","thousands","3","v47170","10.3","3465","","","","0"
"1912","Alberta","2016A000248","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47181","10.4","0.65","","","t","2"
"1912","Alberta","2016A000248","Total farm value, potatoes","Dollars","81","thousands","3","v47192","10.5","2252","","","t","0"
"1912","British Columbia","2016A000259","Seeded area","Acres","28","units","0","v47149","11.1","17000","","","","0"
"1912","British Columbia","2016A000259","Average yield","Hundredweight per harvested acres","159","units","0","v47160","11.2","141.0","","","","1"
